Timestamp,gender,gender_code,age_group,20min frequency,blick frequency,NZZ frequenzy,tv frequency,social media frequency,press frequency,information sources,update frequency,comm channels,situations,share frequency
2018/04/15 12:51:20 pm EET,male,1,3,3,1,2,2,1,2,"1,2,3,4",2,"1,6","1,4",6
2018/04/15 1:08:39 pm EET,male,1,3,1,1,1,2,1,2,2,4,"1,6",5,2
2018/04/15 1:10:54 pm EET,male,1,2,1,3,2,3,1,2,2,2,1,5,6
2018/04/15 1:15:29 pm EET,male,1,2,2,1,1,4,2,1,"1,2",5,1,1,5
2018/04/16 11:23:09 am EET,male,1,2,1,1,4,1,2,2,"2,4",3,"1,2,3,4,6",5,3
2018/04/16 11:23:33 am EET,male,1,2,4,1,1,1,2,2,"2,4",2,"1,2,5,6",5,4
2018/04/16 11:23:43 am EET,male,1,1,2,1,1,3,5,1,"1,2",5,"1,3,4,5,6","1,2,3",5
2018/04/16 11:24:38 am EET,female,2,7,3,1,2,3,1,2,"2,4",4,"1,6",5,5
2018/04/16 11:24:45 am EET,male,1,2,2,3,1,1,1,2,2,4,"1,5",5,5
2018/04/16 11:25:17 am EET,male,1,2,1,1,2,9,1,2,"1,3,4",4,"1,5,6",5,6
2018/04/16 11:25:19 am EET,male,1,2,4,3,1,3,2,2,"1,2,3",3,1,"1,3",6
2018/04/16 11:25:20 am EET,male,1,3,4,1,1,2,1,2,"2,3",2,"1,5,6",5,6
2018/04/16 11:25:22 am EET,female,2,6,2,1,1,2,1,1,3,5,"1,5,6",5,4
2018/04/16 11:26:05 am EET,male,1,6,2,1,1,2,1,2,4,4,"1,5,6",5,5
2018/04/16 11:27:04 am EET,male,1,3,1,1,1,5,6,1,"1,2,3",5,"1,2",5,4
2018/04/16 11:29:38 am EET,male,1,2,4,1,1,4,5,2,"1,2,3,4",3,"1,3,4,5",5,5
2018/04/16 11:32:21 am EET,male,1,6,3,3,1,3,1,3,2,2,"5,6",5,6
2018/04/16 11:34:01 am EET,male,1,7,2,3,1,2,1,2,"2,3,4",3,"1,5,6",5,6
2018/04/16 11:35:34 am EET,female,2,4,3,1,1,3,1,2,"2,3",4,1,5,5
2018/04/16 11:35:45 am EET,male,1,7,2,3,1,4,3,2,"1,2",4,"1,5,6",5,4
2018/04/16 11:36:28 am EET,male,1,5,3,3,1,3,1,2,"1,2,3",3,"1,6",5,6
2018/04/16 11:48:12 am EET,male,1,4,4,1,2,3,2,2,"1,2",3,"1,2,4,6",5,3
2018/04/16 11:50:18 am EET,male,1,5,2,2,1,2,3,2,2,2,"1,2,3,4,5,6","1,3,4",3
2018/04/16 11:57:19 am EET,male,1,6,2,1,1,2,1,2,2,4,"1,5,6",5,5
2018/04/16 11:59:00 am EET,male,1,6,3,1,1,3,4,2,"2,3",3,"1,5",5,5
2018/04/16 12:12:58 pm EET,male,1,5,2,3,1,2,1,2,"3,4",4,"1,5",5,6
2018/04/16 12:16:35 pm EET,male,1,3,4,1,1,2,2,2,2,3,"1,6","1,2",6
2018/04/16 12:20:44 pm EET,male,1,7,2,3,1,4,2,2,"1,2",5,1,5,6
2018/04/16 12:26:01 pm EET,female,2,6,3,1,3,2,1,2,"2,4",4,"1,5",5,3
2018/04/16 12:34:13 pm EET,male,1,4,3,1,1,4,2,2,"1,2",4,1,"3,4",5
2018/04/16 12:47:02 pm EET,female,2,7,2,1,1,2,2,1,"1,3",5,1,5,5
2018/04/16 12:54:36 pm EET,male,1,5,1,1,2,2,1,1,"2,4",5,"1,5",5,6
2018/04/16 12:54:43 pm EET,male,1,6,3,1,2,2,2,1,"2,3",3,"1,6",5,3
2018/04/16 1:28:10 pm EET,male,1,7,3,1,2,4,1,2,"2,3,4",3,"1,5,6",5,3
2018/04/16 1:32:33 pm EET,male,1,6,3,3,2,2,3,3,2,4,"1,6",5,2
2018/04/16 1:43:06 pm EET,male,1,4,2,2,1,3,1,2,"2,3",4,"1,6",5,6
2018/04/16 2:04:00 pm EET,male,1,6,3,3,2,2,1,2,"1,2",3,"1,5,6",5,6
2018/04/16 2:08:20 pm EET,female,2,6,3,3,1,10,5,3,"1,2,3",3,"1,2,5,6",2,6
2018/04/16 2:40:55 pm EET,male,1,6,3,3,1,3,1,2,"1,2,3",4,"1,5",5,5
2018/04/16 2:43:59 pm EET,male,1,6,4,1,1,3,2,2,"1,2,3",3,"1,5,6",5,6
2018/04/16 2:44:47 pm EET,male,1,7,3,1,3,2,1,3,"3,4",4,5,5,6
2018/04/16 3:26:08 pm EET,male,1,7,3,1,1,2,1,2,"2,3",4,6,5,6
2018/04/16 3:44:29 pm EET,male,1,7,2,3,2,2,1,2,"1,2,3,4",4,"1,5,6",5,6
2018/04/16 3:51:33 pm EET,male,1,7,1,1,1,1,1,2,"2,3",3,"5,6",5,6
2018/04/16 3:58:13 pm EET,male,1,3,3,1,1,5,3,2,"1,2",3,"1,4,5",5,5
2018/04/16 4:10:04 pm EET,male,1,7,2,1,1,2,2,2,"1,2,3",3,"1,5,6",1,5
2018/04/16 4:27:27 pm EET,male,1,3,3,1,1,2,1,2,"1,2,3,4",4,"1,5,6",1,6
2018/04/16 7:11:10 pm EET,male,1,3,4,2,1,4,1,3,"1,2",2,"1,5,6",5,6
2018/04/16 7:31:58 pm EET,male,1,7,1,1,1,1,1,2,"2,3,4",4,"1,5,6",5,6
2018/04/16 9:20:17 pm EET,male,1,6,3,1,1,3,1,2,"1,2",4,"1,6",5,6
2018/04/17 5:50:02 am EET,male,1,4,3,3,1,2,2,2,2,4,1,5,4
2018/04/17 8:04:00 am EET,male,1,2,1,1,1,1,3,3,"2,3",2,"1,3,6",5,5
2018/04/17 8:34:11 am EET,female,2,7,2,2,1,2,1,1,3,4,"1,6",5,6
2018/04/17 3:22:14 pm EET,male,1,2,1,1,1,1,1,1,2,5,"1,5",1,6
2018/04/17 7:30:02 pm EET,female,2,3,2,2,1,2,2,2,3,5,1,5,5
2018/04/18 7:04:42 am EET,male,1,6,2,1,1,4,3,1,"2,3",1,"1,2",5,3
2018/04/18 8:32:32 am EET,male,1,1,3,1,1,1,4,2,"2,3",3,1,5,2
2018/04/18 12:10:48 pm EET,male,1,7,3,1,1,4,1,2,"1,2",4,"1,6",5,3
2018/04/18 4:32:32 pm EET,female,2,7,3,1,3,3,1,3,"1,3,4",4,"1,6",5,5
2018/04/19 7:37:35 am EET,male,1,6,3,1,1,3,1,1,"1,2,3",5,"1,6",5,5
2018/04/19 9:25:33 am EET,male,1,6,2,2,1,2,1,1,"1,2,4",5,"1,5",5,6
2018/04/19 12:15:06 pm EET,female,2,5,3,3,1,10,2,2,"2,3",3,1,5,6
2018/04/20 2:28:34 pm EET,female,2,6,3,1,1,2,1,1,"1,2",4,1,2,6
2018/04/20 8:57:50 pm EET,male,1,5,2,3,1,8,1,2,"1,2,3",3,1,5,6
2018/04/20 9:00:23 pm EET,female,2,5,3,3,1,5,2,3,1,2,5,5,3
2018/04/23 8:46:56 am EET,male,1,2,1,1,1,1,2,1,2,2,1,2,5
2018/04/26 7:08:55 pm EET,male,1,7,2,1,1,3,2,2,3,4,1,5,2
2018/05/03 4:54:16 pm EET,male,1,3,3,2,1,3,2,2,"1,2,3",4,"1,2",5,5