Timestamp,Geschlecht,gender,Alter,age_group,Wie häufig lesen Sie Nachrichten von 20minuten?,20min frequency,Wie häufig lesen Sie Nachrichten vom Blick?,blick frequency,Wie häufig lesen Sie Nachrichten der NZZ?,NZZ frequenzy,Wie viele Stunden pro Tag schauen Sie TV?,tv frequency,"Wie viele Stunden pro Tag verbringen Sie auf Sozialen Medien? (Facebook, Instragam, Twitter, Snapchat)",social media frequency,Wie viele Stunden pro Tag lesen Sie Zeitung? (gedruckt oder online),press frequency,Welche Medien sind für Sie die wichtigsten Informationsquellen?,information sources,Wie häufig erkundigen Sie sich nach neuen Nachrichten aus der Welt?,Wie kommunizieren Sie im privaten Umfeld mit Anderen?,Ist Ihnen einer der Situationen auf Sozialen Medien schon passiert?,Wie oft teilen Sie eigene Inhalte mit anderen? (Soziale Medien)
2018/04/15 12:51:20 pm EET,männlich,male,26-30,3,Oft (täglich),3,Sehr selten (monatlich oder weniger),1,Selten (wöchentlich),2,1 Stunde,2,gar nicht,1,1 Stunde,2,Fernseher;Internet;Radio;Zeitung,,Alle 1-4 Stunden,Whatsapp;Email,Fotos oder Videos wurden ohne Sie zu fragen veröffentlicht;Sie wurden auf unangenehme/private Sachen angesprochen,nie
2018/04/15 1:08:39 pm EET,männlich,male,26-30,3,Sehr selten (monatlich oder weniger),1,Sehr selten (monatlich oder weniger),1,Sehr selten (monatlich oder weniger),1,1 Stunde,2,gar nicht,1,1 Stunde,2,Internet,,täglich,Whatsapp;Email,Ihnen ist noch keine der Situationen wiederfahren,täglich
2018/04/15 1:10:54 pm EET,männlich,male,18 - 25,2,Sehr selten (monatlich oder weniger),1,Oft (täglich),3,Selten (wöchentlich),2,2 Stunden,3,gar nicht,1,1 Stunde,2,Internet,,Alle 1-4 Stunden,Whatsapp,Ihnen ist noch keine der Situationen wiederfahren,nie
2018/04/15 1:15:29 pm EET,männlich,male,18 - 25,2,Selten (wöchentlich),2,Sehr selten (monatlich oder weniger),1,Sehr selten (monatlich oder weniger),1,3 Stunden,4,1 Stunde,2,gar nicht,1,Fernseher;Internet,,seltener als täglich,Whatsapp,Fotos oder Videos wurden ohne Sie zu fragen veröffentlicht,seltener als wöchentlich
2018/04/16 11:23:09 am EET,männlich,male,18 - 25,2,Sehr selten (monatlich oder weniger),1,Sehr selten (monatlich oder weniger),1,Sehr oft (mehrmals pro Tag),4,gar nicht,1,1 Stunde,2,1 Stunde,2,Internet;Zeitung,,halbtägig,Whatsapp;Facebook;Instagram;Snapchat;Email,Ihnen ist noch keine der Situationen wiederfahren,mehrmals die Woche
2018/04/16 11:23:33 am EET,männlich,male,18 - 25,2,Sehr oft (mehrmals pro Tag),4,Sehr selten (monatlich oder weniger),1,Sehr selten (monatlich oder weniger),1,gar nicht,1,1 Stunde,2,1 Stunde,2,Internet;Zeitung,,Alle 1-4 Stunden,Whatsapp;Facebook;SMS;Email,Ihnen ist noch keine der Situationen wiederfahren,wöchentlich
2018/04/16 11:23:43 am EET,männlich,male,<18,1,Selten (wöchentlich),2,Sehr selten (monatlich oder weniger),1,Sehr selten (monatlich oder weniger),1,2 Stunden,3,4 Stunden,5,gar nicht,1,Fernseher;Internet,,seltener als täglich,Whatsapp;Instagram;Snapchat;SMS;Email,Fotos oder Videos wurden ohne Sie zu fragen veröffentlicht;Sie wurden beleidigt oder angegriffen;Es wurden unwahre oder persöndliche Informationen von Ihnen veröffentlicht,seltener als wöchentlich
2018/04/16 11:24:38 am EET,weiblich,female,>50,7,Oft (täglich),3,Sehr selten (monatlich oder weniger),1,Selten (wöchentlich),2,2 Stunden,3,gar nicht,1,1 Stunde,2,Internet;Zeitung,,täglich,Whatsapp;Email,Ihnen ist noch keine der Situationen wiederfahren,seltener als wöchentlich
2018/04/16 11:24:45 am EET,männlich,male,18 - 25,2,Selten (wöchentlich),2,Oft (täglich),3,Sehr selten (monatlich oder weniger),1,gar nicht,1,gar nicht,1,1 Stunde,2,Internet,,täglich,Whatsapp;SMS,Ihnen ist noch keine der Situationen wiederfahren,seltener als wöchentlich
2018/04/16 11:25:17 am EET,männlich,male,18 - 25,2,Sehr selten (monatlich oder weniger),1,Sehr selten (monatlich oder weniger),1,Selten (wöchentlich),2,8 Stunden,9,gar nicht,1,1 Stunde,2,Fernseher;Radio;Zeitung,,täglich,Whatsapp;SMS;Email,Ihnen ist noch keine der Situationen wiederfahren,nie
2018/04/16 11:25:19 am EET,männlich,male,18 - 25,2,Sehr oft (mehrmals pro Tag),4,Oft (täglich),3,Sehr selten (monatlich oder weniger),1,2 Stunden,3,1 Stunde,2,1 Stunde,2,Fernseher;Internet;Radio,,halbtägig,Whatsapp,Fotos oder Videos wurden ohne Sie zu fragen veröffentlicht;Es wurden unwahre oder persöndliche Informationen von Ihnen veröffentlicht,nie
2018/04/16 11:25:20 am EET,männlich,male,26-30,3,Sehr oft (mehrmals pro Tag),4,Sehr selten (monatlich oder weniger),1,Sehr selten (monatlich oder weniger),1,1 Stunde,2,gar nicht,1,1 Stunde,2,Internet;Radio,,Alle 1-4 Stunden,Whatsapp;SMS;Email,Ihnen ist noch keine der Situationen wiederfahren,nie
2018/04/16 11:25:22 am EET,weiblich,female,41-49,6,Selten (wöchentlich),2,Sehr selten (monatlich oder weniger),1,Sehr selten (monatlich oder weniger),1,1 Stunde,2,gar nicht,1,gar nicht,1,Radio,,seltener als täglich,Whatsapp;SMS;Email,Ihnen ist noch keine der Situationen wiederfahren,wöchentlich
2018/04/16 11:26:05 am EET,männlich,male,41-49,6,Selten (wöchentlich),2,Sehr selten (monatlich oder weniger),1,Sehr selten (monatlich oder weniger),1,1 Stunde,2,gar nicht,1,1 Stunde,2,Zeitung,,täglich,Whatsapp;SMS;Email,Ihnen ist noch keine der Situationen wiederfahren,seltener als wöchentlich
2018/04/16 11:27:04 am EET,männlich,male,26-30,3,Sehr selten (monatlich oder weniger),1,Sehr selten (monatlich oder weniger),1,Sehr selten (monatlich oder weniger),1,4 Stunden,5,5 Stunden,6,gar nicht,1,Fernseher;Internet;Radio,,seltener als täglich,Whatsapp;Facebook,Ihnen ist noch keine der Situationen wiederfahren,wöchentlich
2018/04/16 11:29:38 am EET,männlich,male,18 - 25,2,Sehr oft (mehrmals pro Tag),4,Sehr selten (monatlich oder weniger),1,Sehr selten (monatlich oder weniger),1,3 Stunden,4,4 Stunden,5,1 Stunde,2,Fernseher;Internet;Radio;Zeitung,,halbtägig,Whatsapp;Instagram;Snapchat;SMS,Ihnen ist noch keine der Situationen wiederfahren,seltener als wöchentlich
2018/04/16 11:32:21 am EET,männlich,male,41-49,6,Oft (täglich),3,Oft (täglich),3,Sehr selten (monatlich oder weniger),1,2 Stunden,3,gar nicht,1,2 Stunden,3,Internet,,Alle 1-4 Stunden,SMS;Email,Ihnen ist noch keine der Situationen wiederfahren,nie
2018/04/16 11:34:01 am EET,männlich,male,>50,7,Selten (wöchentlich),2,Oft (täglich),3,Sehr selten (monatlich oder weniger),1,1 Stunde,2,gar nicht,1,1 Stunde,2,Internet;Radio;Zeitung,,halbtägig,Whatsapp;SMS;Email,Ihnen ist noch keine der Situationen wiederfahren,nie
2018/04/16 11:35:34 am EET,weiblich,female,31-35,4,Oft (täglich),3,Sehr selten (monatlich oder weniger),1,Sehr selten (monatlich oder weniger),1,2 Stunden,3,gar nicht,1,1 Stunde,2,Internet;Radio,,täglich,Whatsapp,Ihnen ist noch keine der Situationen wiederfahren,seltener als wöchentlich
2018/04/16 11:35:45 am EET,männlich,male,>50,7,Selten (wöchentlich),2,Oft (täglich),3,Sehr selten (monatlich oder weniger),1,3 Stunden,4,2 Stunden,3,1 Stunde,2,Fernseher;Internet,,täglich,Whatsapp;SMS;Email,Ihnen ist noch keine der Situationen wiederfahren,wöchentlich
2018/04/16 11:36:28 am EET,männlich,male,36-40,5,Oft (täglich),3,Oft (täglich),3,Sehr selten (monatlich oder weniger),1,2 Stunden,3,gar nicht,1,1 Stunde,2,Fernseher;Internet;Radio,,halbtägig,Whatsapp;Email,Ihnen ist noch keine der Situationen wiederfahren,nie
2018/04/16 11:48:12 am EET,männlich,male,31-35,4,Sehr oft (mehrmals pro Tag),4,Sehr selten (monatlich oder weniger),1,Selten (wöchentlich),2,2 Stunden,3,1 Stunde,2,1 Stunde,2,Fernseher;Internet,,halbtägig,Whatsapp;Facebook;Snapchat;Email,Ihnen ist noch keine der Situationen wiederfahren,mehrmals die Woche
2018/04/16 11:50:18 am EET,männlich,male,36-40,5,Selten (wöchentlich),2,Selten (wöchentlich),2,Sehr selten (monatlich oder weniger),1,1 Stunde,2,2 Stunden,3,1 Stunde,2,Internet,,Alle 1-4 Stunden,Whatsapp;Facebook;Instagram;Snapchat;SMS;Email,Sie wurden beleidigt oder angegriffen;Es wurden unwahre oder persöndliche Informationen von Ihnen veröffentlicht;Sie wurden auf unangenehme/private Sachen angesprochen,mehrmals die Woche
2018/04/16 11:57:19 am EET,männlich,male,41-49,6,Selten (wöchentlich),2,Sehr selten (monatlich oder weniger),1,Sehr selten (monatlich oder weniger),1,1 Stunde,2,gar nicht,1,1 Stunde,2,Internet,,täglich,Whatsapp;SMS;Email,Ihnen ist noch keine der Situationen wiederfahren,seltener als wöchentlich
2018/04/16 11:59:00 am EET,männlich,male,41-49,6,Oft (täglich),3,Sehr selten (monatlich oder weniger),1,Sehr selten (monatlich oder weniger),1,2 Stunden,3,3 Stunden,4,1 Stunde,2,Internet;Radio,,halbtägig,Whatsapp;SMS,Ihnen ist noch keine der Situationen wiederfahren,seltener als wöchentlich
2018/04/16 12:12:58 pm EET,männlich,male,36-40,5,Selten (wöchentlich),2,Oft (täglich),3,Sehr selten (monatlich oder weniger),1,1 Stunde,2,gar nicht,1,1 Stunde,2,Radio;Zeitung,,täglich,Whatsapp;SMS,Ihnen ist noch keine der Situationen wiederfahren,nie
2018/04/16 12:16:35 pm EET,männlich,male,26-30,3,Sehr oft (mehrmals pro Tag),4,Sehr selten (monatlich oder weniger),1,Sehr selten (monatlich oder weniger),1,1 Stunde,2,1 Stunde,2,1 Stunde,2,Internet,,halbtägig,Whatsapp;Email,Fotos oder Videos wurden ohne Sie zu fragen veröffentlicht;Sie wurden beleidigt oder angegriffen,nie
2018/04/16 12:20:44 pm EET,männlich,male,>50,7,Selten (wöchentlich),2,Oft (täglich),3,Sehr selten (monatlich oder weniger),1,3 Stunden,4,1 Stunde,2,1 Stunde,2,Fernseher;Internet,,seltener als täglich,Whatsapp,Ihnen ist noch keine der Situationen wiederfahren,nie
2018/04/16 12:26:01 pm EET,weiblich,female,41-49,6,Oft (täglich),3,Sehr selten (monatlich oder weniger),1,Oft (täglich),3,1 Stunde,2,gar nicht,1,1 Stunde,2,Internet;Zeitung,,täglich,Whatsapp;SMS,Ihnen ist noch keine der Situationen wiederfahren,mehrmals die Woche
2018/04/16 12:34:13 pm EET,männlich,male,31-35,4,Oft (täglich),3,Sehr selten (monatlich oder weniger),1,Sehr selten (monatlich oder weniger),1,3 Stunden,4,1 Stunde,2,1 Stunde,2,Fernseher;Internet,,täglich,Whatsapp,Es wurden unwahre oder persöndliche Informationen von Ihnen veröffentlicht;Sie wurden auf unangenehme/private Sachen angesprochen,seltener als wöchentlich
2018/04/16 12:47:02 pm EET,weiblich,female,>50,7,Selten (wöchentlich),2,Sehr selten (monatlich oder weniger),1,Sehr selten (monatlich oder weniger),1,1 Stunde,2,1 Stunde,2,gar nicht,1,Fernseher;Radio,,seltener als täglich,Whatsapp,Ihnen ist noch keine der Situationen wiederfahren,seltener als wöchentlich
2018/04/16 12:54:36 pm EET,männlich,male,36-40,5,Sehr selten (monatlich oder weniger),1,Sehr selten (monatlich oder weniger),1,Selten (wöchentlich),2,1 Stunde,2,gar nicht,1,gar nicht,1,Internet;Zeitung,,seltener als täglich,Whatsapp;SMS,Ihnen ist noch keine der Situationen wiederfahren,nie
2018/04/16 12:54:43 pm EET,männlich,male,41-49,6,Oft (täglich),3,Sehr selten (monatlich oder weniger),1,Selten (wöchentlich),2,1 Stunde,2,1 Stunde,2,gar nicht,1,Internet;Radio,,halbtägig,Whatsapp;Email,Ihnen ist noch keine der Situationen wiederfahren,mehrmals die Woche
2018/04/16 1:28:10 pm EET,männlich,male,>50,7,Oft (täglich),3,Sehr selten (monatlich oder weniger),1,Selten (wöchentlich),2,3 Stunden,4,gar nicht,1,1 Stunde,2,Internet;Radio;Zeitung,,halbtägig,Whatsapp;SMS;Email,Ihnen ist noch keine der Situationen wiederfahren,mehrmals die Woche
2018/04/16 1:32:33 pm EET,männlich,male,41-49,6,Oft (täglich),3,Oft (täglich),3,Selten (wöchentlich),2,1 Stunde,2,2 Stunden,3,2 Stunden,3,Internet,,täglich,Whatsapp;Email,Ihnen ist noch keine der Situationen wiederfahren,täglich
2018/04/16 1:43:06 pm EET,männlich,male,31-35,4,Selten (wöchentlich),2,Selten (wöchentlich),2,Sehr selten (monatlich oder weniger),1,2 Stunden,3,gar nicht,1,1 Stunde,2,Internet;Radio,,täglich,Whatsapp;Email,Ihnen ist noch keine der Situationen wiederfahren,nie
2018/04/16 2:04:00 pm EET,männlich,male,41-49,6,Oft (täglich),3,Oft (täglich),3,Selten (wöchentlich),2,1 Stunde,2,gar nicht,1,1 Stunde,2,Fernseher;Internet,,halbtägig,Whatsapp;SMS;Email,Ihnen ist noch keine der Situationen wiederfahren,nie
2018/04/16 2:08:20 pm EET,weiblich,female,41-49,6,Oft (täglich),3,Oft (täglich),3,Sehr selten (monatlich oder weniger),1,Mehr als 8 Stunden,10,4 Stunden,5,2 Stunden,3,Fernseher;Internet;Radio,,halbtägig,Whatsapp;Facebook;SMS;Email,Sie wurden beleidigt oder angegriffen,nie
2018/04/16 2:40:55 pm EET,männlich,male,41-49,6,Oft (täglich),3,Oft (täglich),3,Sehr selten (monatlich oder weniger),1,2 Stunden,3,gar nicht,1,1 Stunde,2,Fernseher;Internet;Radio,,täglich,Whatsapp;SMS,Ihnen ist noch keine der Situationen wiederfahren,seltener als wöchentlich
2018/04/16 2:43:59 pm EET,männlich,male,41-49,6,Sehr oft (mehrmals pro Tag),4,Sehr selten (monatlich oder weniger),1,Sehr selten (monatlich oder weniger),1,2 Stunden,3,1 Stunde,2,1 Stunde,2,Fernseher;Internet;Radio,,halbtägig,Whatsapp;SMS;Email,Ihnen ist noch keine der Situationen wiederfahren,nie
2018/04/16 2:44:47 pm EET,männlich,male,>50,7,Oft (täglich),3,Sehr selten (monatlich oder weniger),1,Oft (täglich),3,1 Stunde,2,gar nicht,1,2 Stunden,3,Radio;Zeitung,,täglich,SMS,Ihnen ist noch keine der Situationen wiederfahren,nie
2018/04/16 3:26:08 pm EET,männlich,male,>50,7,Oft (täglich),3,Sehr selten (monatlich oder weniger),1,Sehr selten (monatlich oder weniger),1,1 Stunde,2,gar nicht,1,1 Stunde,2,Internet;Radio,,täglich,Email,Ihnen ist noch keine der Situationen wiederfahren,nie
2018/04/16 3:44:29 pm EET,männlich,male,>50,7,Selten (wöchentlich),2,Oft (täglich),3,Selten (wöchentlich),2,1 Stunde,2,gar nicht,1,1 Stunde,2,Fernseher;Internet;Radio;Zeitung,,täglich,Whatsapp;SMS;Email,Ihnen ist noch keine der Situationen wiederfahren,nie
2018/04/16 3:51:33 pm EET,männlich,male,>50,7,Sehr selten (monatlich oder weniger),1,Sehr selten (monatlich oder weniger),1,Sehr selten (monatlich oder weniger),1,gar nicht,1,gar nicht,1,1 Stunde,2,Internet;Radio,,halbtägig,SMS;Email,Ihnen ist noch keine der Situationen wiederfahren,nie
2018/04/16 3:58:13 pm EET,männlich,male,26-30,3,Oft (täglich),3,Sehr selten (monatlich oder weniger),1,Sehr selten (monatlich oder weniger),1,4 Stunden,5,2 Stunden,3,1 Stunde,2,Fernseher;Internet,,halbtägig,Whatsapp;Snapchat;SMS,Ihnen ist noch keine der Situationen wiederfahren,seltener als wöchentlich
2018/04/16 4:10:04 pm EET,männlich,male,>50,7,Selten (wöchentlich),2,Sehr selten (monatlich oder weniger),1,Sehr selten (monatlich oder weniger),1,1 Stunde,2,1 Stunde,2,1 Stunde,2,Fernseher;Internet;Radio,,halbtägig,Whatsapp;SMS;Email,Fotos oder Videos wurden ohne Sie zu fragen veröffentlicht,seltener als wöchentlich
2018/04/16 4:27:27 pm EET,männlich,male,26-30,3,Oft (täglich),3,Sehr selten (monatlich oder weniger),1,Sehr selten (monatlich oder weniger),1,1 Stunde,2,gar nicht,1,1 Stunde,2,Fernseher;Internet;Radio;Zeitung,,täglich,Whatsapp;SMS;Email,Fotos oder Videos wurden ohne Sie zu fragen veröffentlicht,nie
2018/04/16 7:11:10 pm EET,männlich,male,26-30,3,Sehr oft (mehrmals pro Tag),4,Selten (wöchentlich),2,Sehr selten (monatlich oder weniger),1,3 Stunden,4,gar nicht,1,2 Stunden,3,Fernseher;Internet,,Alle 1-4 Stunden,Whatsapp;SMS;Email,Ihnen ist noch keine der Situationen wiederfahren,nie
2018/04/16 7:31:58 pm EET,männlich,male,>50,7,Sehr selten (monatlich oder weniger),1,Sehr selten (monatlich oder weniger),1,Sehr selten (monatlich oder weniger),1,gar nicht,1,gar nicht,1,1 Stunde,2,Internet;Radio;Zeitung,,täglich,Whatsapp;SMS;Email,Ihnen ist noch keine der Situationen wiederfahren,nie
2018/04/16 9:20:17 pm EET,männlich,male,41-49,6,Oft (täglich),3,Sehr selten (monatlich oder weniger),1,Sehr selten (monatlich oder weniger),1,2 Stunden,3,gar nicht,1,1 Stunde,2,Fernseher;Internet,,täglich,Whatsapp;Email,Ihnen ist noch keine der Situationen wiederfahren,nie
2018/04/17 5:50:02 am EET,männlich,male,31-35,4,Oft (täglich),3,Oft (täglich),3,Sehr selten (monatlich oder weniger),1,1 Stunde,2,1 Stunde,2,1 Stunde,2,Internet,,täglich,Whatsapp,Ihnen ist noch keine der Situationen wiederfahren,wöchentlich
2018/04/17 8:04:00 am EET,männlich,male,18 - 25,2,Sehr selten (monatlich oder weniger),1,Sehr selten (monatlich oder weniger),1,Sehr selten (monatlich oder weniger),1,gar nicht,1,2 Stunden,3,2 Stunden,3,Internet;Radio,,Alle 1-4 Stunden,Whatsapp;Instagram;Email,Ihnen ist noch keine der Situationen wiederfahren,seltener als wöchentlich
2018/04/17 8:34:11 am EET,weiblich,female,>50,7,Selten (wöchentlich),2,Selten (wöchentlich),2,Sehr selten (monatlich oder weniger),1,1 Stunde,2,gar nicht,1,gar nicht,1,Radio,,täglich,Whatsapp;Email,Ihnen ist noch keine der Situationen wiederfahren,nie
2018/04/17 3:22:14 pm EET,männlich,male,18 - 25,2,Sehr selten (monatlich oder weniger),1,Sehr selten (monatlich oder weniger),1,Sehr selten (monatlich oder weniger),1,gar nicht,1,gar nicht,1,gar nicht,1,Internet,,seltener als täglich,Whatsapp;SMS,Fotos oder Videos wurden ohne Sie zu fragen veröffentlicht,nie
2018/04/17 7:30:02 pm EET,weiblich,female,26-30,3,Selten (wöchentlich),2,Selten (wöchentlich),2,Sehr selten (monatlich oder weniger),1,1 Stunde,2,1 Stunde,2,1 Stunde,2,Radio,,seltener als täglich,Whatsapp,Ihnen ist noch keine der Situationen wiederfahren,seltener als wöchentlich
2018/04/18 7:04:42 am EET,männlich,male,41-49,6,Selten (wöchentlich),2,Sehr selten (monatlich oder weniger),1,Sehr selten (monatlich oder weniger),1,3 Stunden,4,2 Stunden,3,gar nicht,1,Internet;Radio,,mind. stündlich,Whatsapp;Facebook,Ihnen ist noch keine der Situationen wiederfahren,mehrmals die Woche
2018/04/18 8:32:32 am EET,männlich,male,<18,1,Oft (täglich),3,Sehr selten (monatlich oder weniger),1,Sehr selten (monatlich oder weniger),1,gar nicht,1,3 Stunden,4,1 Stunde,2,Internet;Radio,,halbtägig,Whatsapp,Ihnen ist noch keine der Situationen wiederfahren,täglich
2018/04/18 12:10:48 pm EET,männlich,male,>50,7,Oft (täglich),3,Sehr selten (monatlich oder weniger),1,Sehr selten (monatlich oder weniger),1,3 Stunden,4,gar nicht,1,1 Stunde,2,Fernseher;Internet,,täglich,Whatsapp;Email,Ihnen ist noch keine der Situationen wiederfahren,mehrmals die Woche
2018/04/18 4:32:32 pm EET,weiblich,female,>50,7,Oft (täglich),3,Sehr selten (monatlich oder weniger),1,Oft (täglich),3,2 Stunden,3,gar nicht,1,2 Stunden,3,Fernseher;Radio;Zeitung,,täglich,Whatsapp;Email,Ihnen ist noch keine der Situationen wiederfahren,seltener als wöchentlich
2018/04/19 7:37:35 am EET,männlich,male,41-49,6,Oft (täglich),3,Sehr selten (monatlich oder weniger),1,Sehr selten (monatlich oder weniger),1,2 Stunden,3,gar nicht,1,gar nicht,1,Fernseher;Internet;Radio,,seltener als täglich,Whatsapp;Email,Ihnen ist noch keine der Situationen wiederfahren,seltener als wöchentlich
2018/04/19 9:25:33 am EET,männlich,male,41-49,6,Selten (wöchentlich),2,Selten (wöchentlich),2,Sehr selten (monatlich oder weniger),1,1 Stunde,2,gar nicht,1,gar nicht,1,Fernseher;Internet;Zeitung,,seltener als täglich,Whatsapp;SMS,Ihnen ist noch keine der Situationen wiederfahren,nie
2018/04/19 12:15:06 pm EET,weiblich,female,36-40,5,Oft (täglich),3,Oft (täglich),3,Sehr selten (monatlich oder weniger),1,Mehr als 8 Stunden,10,1 Stunde,2,1 Stunde,2,Internet;Radio,,halbtägig,Whatsapp,Ihnen ist noch keine der Situationen wiederfahren,nie
2018/04/20 2:28:34 pm EET,weiblich,female,41-49,6,Oft (täglich),3,Sehr selten (monatlich oder weniger),1,Sehr selten (monatlich oder weniger),1,1 Stunde,2,gar nicht,1,gar nicht,1,Fernseher;Internet,,täglich,Whatsapp,Sie wurden beleidigt oder angegriffen,nie
2018/04/20 8:57:50 pm EET,männlich,male,36-40,5,Selten (wöchentlich),2,Oft (täglich),3,Sehr selten (monatlich oder weniger),1,7 Stunden,8,gar nicht,1,1 Stunde,2,Fernseher;Internet;Radio,,halbtägig,Whatsapp,Ihnen ist noch keine der Situationen wiederfahren,nie
2018/04/20 9:00:23 pm EET,weiblich,female,36-40,5,Oft (täglich),3,Oft (täglich),3,Sehr selten (monatlich oder weniger),1,4 Stunden,5,1 Stunde,2,2 Stunden,3,Fernseher,,Alle 1-4 Stunden,SMS,Ihnen ist noch keine der Situationen wiederfahren,mehrmals die Woche
2018/04/23 8:46:56 am EET,männlich,male,18 - 25,2,Sehr selten (monatlich oder weniger),1,Sehr selten (monatlich oder weniger),1,Sehr selten (monatlich oder weniger),1,gar nicht,1,1 Stunde,2,gar nicht,1,Internet,,Alle 1-4 Stunden,Whatsapp,Sie wurden beleidigt oder angegriffen,seltener als wöchentlich
2018/04/26 7:08:55 pm EET,männlich,male,>50,7,Selten (wöchentlich),2,Sehr selten (monatlich oder weniger),1,Sehr selten (monatlich oder weniger),1,2 Stunden,3,1 Stunde,2,1 Stunde,2,Radio,,täglich,Whatsapp,Ihnen ist noch keine der Situationen wiederfahren,täglich
2018/05/03 4:54:16 pm EET,männlich,male,26-30,3,Oft (täglich),3,Selten (wöchentlich),2,Sehr selten (monatlich oder weniger),1,2 Stunden,3,1 Stunde,2,1 Stunde,2,Fernseher;Internet;Radio,,täglich,Whatsapp;Facebook,Ihnen ist noch keine der Situationen wiederfahren,seltener als wöchentlich