Timestamp,Geschlecht,Alter,Wie häufig lesen Sie Nachrichten von 20minuten?,Wie häufig lesen Sie Nachrichten vom Blick?,Wie häufig lesen Sie Nachrichten der NZZ?,Wie viele Stunden pro Tag schauen Sie TV?,"Wie viele Stunden pro Tag verbringen Sie auf Sozialen Medien? (Facebook, Instragam, Twitter, Snapchat)",Wie viele Stunden pro Tag lesen Sie Zeitung? (gedruckt oder online),Welche Medien sind für Sie die wichtigsten Informationsquellen?,Wie häufig erkundigen Sie sich nach neuen Nachrichten aus der Welt?,Wie kommunizieren Sie im privaten Umfeld mit Anderen?,Ist Ihnen einer der Situationen auf Sozialen Medien schon passiert?,Wie oft teilen Sie eigene Inhalte mit anderen? (Soziale Medien)
2018/04/15 12:51:20 pm EET,männlich,26-30,Oft (täglich),Sehr selten (monatlich oder weniger),Selten (wöchentlich),1 Stunde,gar nicht,1 Stunde,Fernseher;Internet;Radio;Zeitung,Alle 1-4 Stunden,Whatsapp;Email,Fotos oder Videos wurden ohne Sie zu fragen veröffentlicht;Sie wurden auf unangenehme/private Sachen angesprochen,nie
2018/04/15 1:08:39 pm EET,männlich,26-30,Sehr selten (monatlich oder weniger),Sehr selten (monatlich oder weniger),Sehr selten (monatlich oder weniger),1 Stunde,gar nicht,1 Stunde,Internet,täglich,Whatsapp;Email,Ihnen ist noch keine der Situationen wiederfahren,täglich
2018/04/15 1:10:54 pm EET,männlich,18 - 25,Sehr selten (monatlich oder weniger),Oft (täglich),Selten (wöchentlich),2 Stunden,gar nicht,1 Stunde,Internet,Alle 1-4 Stunden,Whatsapp,Ihnen ist noch keine der Situationen wiederfahren,nie
2018/04/15 1:15:29 pm EET,männlich,18 - 25,Selten (wöchentlich),Sehr selten (monatlich oder weniger),Sehr selten (monatlich oder weniger),3 Stunden,1 Stunde,gar nicht,Fernseher;Internet,seltener als täglich,Whatsapp,Fotos oder Videos wurden ohne Sie zu fragen veröffentlicht,seltener als wöchentlich
2018/04/16 11:23:09 am EET,männlich,18 - 25,Sehr selten (monatlich oder weniger),Sehr selten (monatlich oder weniger),Sehr oft (mehrmals pro Tag),gar nicht,1 Stunde,1 Stunde,Internet;Zeitung,halbtägig,Whatsapp;Facebook;Instagram;Snapchat;Email,Ihnen ist noch keine der Situationen wiederfahren,mehrmals die Woche
2018/04/16 11:23:33 am EET,männlich,18 - 25,Sehr oft (mehrmals pro Tag),Sehr selten (monatlich oder weniger),Sehr selten (monatlich oder weniger),gar nicht,1 Stunde,1 Stunde,Internet;Zeitung,Alle 1-4 Stunden,Whatsapp;Facebook;SMS;Email,Ihnen ist noch keine der Situationen wiederfahren,wöchentlich
2018/04/16 11:23:43 am EET,männlich,<18,Selten (wöchentlich),Sehr selten (monatlich oder weniger),Sehr selten (monatlich oder weniger),2 Stunden,4 Stunden,gar nicht,Fernseher;Internet,seltener als täglich,Whatsapp;Instagram;Snapchat;SMS;Email,Fotos oder Videos wurden ohne Sie zu fragen veröffentlicht;Sie wurden beleidigt oder angegriffen;Es wurden unwahre oder persöndliche Informationen von Ihnen veröffentlicht,seltener als wöchentlich
2018/04/16 11:24:38 am EET,weiblich,>50,Oft (täglich),Sehr selten (monatlich oder weniger),Selten (wöchentlich),2 Stunden,gar nicht,1 Stunde,Internet;Zeitung,täglich,Whatsapp;Email,Ihnen ist noch keine der Situationen wiederfahren,seltener als wöchentlich
2018/04/16 11:24:45 am EET,männlich,18 - 25,Selten (wöchentlich),Oft (täglich),Sehr selten (monatlich oder weniger),gar nicht,gar nicht,1 Stunde,Internet,täglich,Whatsapp;SMS,Ihnen ist noch keine der Situationen wiederfahren,seltener als wöchentlich
2018/04/16 11:25:17 am EET,männlich,18 - 25,Sehr selten (monatlich oder weniger),Sehr selten (monatlich oder weniger),Selten (wöchentlich),8 Stunden,gar nicht,1 Stunde,Fernseher;Radio;Zeitung,täglich,Whatsapp;SMS;Email,Ihnen ist noch keine der Situationen wiederfahren,nie
2018/04/16 11:25:19 am EET,männlich,18 - 25,Sehr oft (mehrmals pro Tag),Oft (täglich),Sehr selten (monatlich oder weniger),2 Stunden,1 Stunde,1 Stunde,Fernseher;Internet;Radio,halbtägig,Whatsapp,Fotos oder Videos wurden ohne Sie zu fragen veröffentlicht;Es wurden unwahre oder persöndliche Informationen von Ihnen veröffentlicht,nie
2018/04/16 11:25:20 am EET,männlich,26-30,Sehr oft (mehrmals pro Tag),Sehr selten (monatlich oder weniger),Sehr selten (monatlich oder weniger),1 Stunde,gar nicht,1 Stunde,Internet;Radio,Alle 1-4 Stunden,Whatsapp;SMS;Email,Ihnen ist noch keine der Situationen wiederfahren,nie
2018/04/16 11:25:22 am EET,weiblich,41-49,Selten (wöchentlich),Sehr selten (monatlich oder weniger),Sehr selten (monatlich oder weniger),1 Stunde,gar nicht,gar nicht,Radio,seltener als täglich,Whatsapp;SMS;Email,Ihnen ist noch keine der Situationen wiederfahren,wöchentlich
2018/04/16 11:26:05 am EET,männlich,41-49,Selten (wöchentlich),Sehr selten (monatlich oder weniger),Sehr selten (monatlich oder weniger),1 Stunde,gar nicht,1 Stunde,Zeitung,täglich,Whatsapp;SMS;Email,Ihnen ist noch keine der Situationen wiederfahren,seltener als wöchentlich
2018/04/16 11:27:04 am EET,männlich,26-30,Sehr selten (monatlich oder weniger),Sehr selten (monatlich oder weniger),Sehr selten (monatlich oder weniger),4 Stunden,5 Stunden,gar nicht,Fernseher;Internet;Radio,seltener als täglich,Whatsapp;Facebook,Ihnen ist noch keine der Situationen wiederfahren,wöchentlich
2018/04/16 11:29:38 am EET,männlich,18 - 25,Sehr oft (mehrmals pro Tag),Sehr selten (monatlich oder weniger),Sehr selten (monatlich oder weniger),3 Stunden,4 Stunden,1 Stunde,Fernseher;Internet;Radio;Zeitung,halbtägig,Whatsapp;Instagram;Snapchat;SMS,Ihnen ist noch keine der Situationen wiederfahren,seltener als wöchentlich
2018/04/16 11:32:21 am EET,männlich,41-49,Oft (täglich),Oft (täglich),Sehr selten (monatlich oder weniger),2 Stunden,gar nicht,2 Stunden,Internet,Alle 1-4 Stunden,SMS;Email,Ihnen ist noch keine der Situationen wiederfahren,nie
2018/04/16 11:34:01 am EET,männlich,>50,Selten (wöchentlich),Oft (täglich),Sehr selten (monatlich oder weniger),1 Stunde,gar nicht,1 Stunde,Internet;Radio;Zeitung,halbtägig,Whatsapp;SMS;Email,Ihnen ist noch keine der Situationen wiederfahren,nie
2018/04/16 11:35:34 am EET,weiblich,31-35,Oft (täglich),Sehr selten (monatlich oder weniger),Sehr selten (monatlich oder weniger),2 Stunden,gar nicht,1 Stunde,Internet;Radio,täglich,Whatsapp,Ihnen ist noch keine der Situationen wiederfahren,seltener als wöchentlich
2018/04/16 11:35:45 am EET,männlich,>50,Selten (wöchentlich),Oft (täglich),Sehr selten (monatlich oder weniger),3 Stunden,2 Stunden,1 Stunde,Fernseher;Internet,täglich,Whatsapp;SMS;Email,Ihnen ist noch keine der Situationen wiederfahren,wöchentlich
2018/04/16 11:36:28 am EET,männlich,36-40,Oft (täglich),Oft (täglich),Sehr selten (monatlich oder weniger),2 Stunden,gar nicht,1 Stunde,Fernseher;Internet;Radio,halbtägig,Whatsapp;Email,Ihnen ist noch keine der Situationen wiederfahren,nie
2018/04/16 11:48:12 am EET,männlich,31-35,Sehr oft (mehrmals pro Tag),Sehr selten (monatlich oder weniger),Selten (wöchentlich),2 Stunden,1 Stunde,1 Stunde,Fernseher;Internet,halbtägig,Whatsapp;Facebook;Snapchat;Email,Ihnen ist noch keine der Situationen wiederfahren,mehrmals die Woche
2018/04/16 11:50:18 am EET,männlich,36-40,Selten (wöchentlich),Selten (wöchentlich),Sehr selten (monatlich oder weniger),1 Stunde,2 Stunden,1 Stunde,Internet,Alle 1-4 Stunden,Whatsapp;Facebook;Instagram;Snapchat;SMS;Email,Sie wurden beleidigt oder angegriffen;Es wurden unwahre oder persöndliche Informationen von Ihnen veröffentlicht;Sie wurden auf unangenehme/private Sachen angesprochen,mehrmals die Woche
2018/04/16 11:57:19 am EET,männlich,41-49,Selten (wöchentlich),Sehr selten (monatlich oder weniger),Sehr selten (monatlich oder weniger),1 Stunde,gar nicht,1 Stunde,Internet,täglich,Whatsapp;SMS;Email,Ihnen ist noch keine der Situationen wiederfahren,seltener als wöchentlich
2018/04/16 11:59:00 am EET,männlich,41-49,Oft (täglich),Sehr selten (monatlich oder weniger),Sehr selten (monatlich oder weniger),2 Stunden,3 Stunden,1 Stunde,Internet;Radio,halbtägig,Whatsapp;SMS,Ihnen ist noch keine der Situationen wiederfahren,seltener als wöchentlich
2018/04/16 12:12:58 pm EET,männlich,36-40,Selten (wöchentlich),Oft (täglich),Sehr selten (monatlich oder weniger),1 Stunde,gar nicht,1 Stunde,Radio;Zeitung,täglich,Whatsapp;SMS,Ihnen ist noch keine der Situationen wiederfahren,nie
2018/04/16 12:16:35 pm EET,männlich,26-30,Sehr oft (mehrmals pro Tag),Sehr selten (monatlich oder weniger),Sehr selten (monatlich oder weniger),1 Stunde,1 Stunde,1 Stunde,Internet,halbtägig,Whatsapp;Email,Fotos oder Videos wurden ohne Sie zu fragen veröffentlicht;Sie wurden beleidigt oder angegriffen,nie
2018/04/16 12:20:44 pm EET,männlich,>50,Selten (wöchentlich),Oft (täglich),Sehr selten (monatlich oder weniger),3 Stunden,1 Stunde,1 Stunde,Fernseher;Internet,seltener als täglich,Whatsapp,Ihnen ist noch keine der Situationen wiederfahren,nie
2018/04/16 12:26:01 pm EET,weiblich,41-49,Oft (täglich),Sehr selten (monatlich oder weniger),Oft (täglich),1 Stunde,gar nicht,1 Stunde,Internet;Zeitung,täglich,Whatsapp;SMS,Ihnen ist noch keine der Situationen wiederfahren,mehrmals die Woche
2018/04/16 12:34:13 pm EET,männlich,31-35,Oft (täglich),Sehr selten (monatlich oder weniger),Sehr selten (monatlich oder weniger),3 Stunden,1 Stunde,1 Stunde,Fernseher;Internet,täglich,Whatsapp,Es wurden unwahre oder persöndliche Informationen von Ihnen veröffentlicht;Sie wurden auf unangenehme/private Sachen angesprochen,seltener als wöchentlich
2018/04/16 12:47:02 pm EET,weiblich,>50,Selten (wöchentlich),Sehr selten (monatlich oder weniger),Sehr selten (monatlich oder weniger),1 Stunde,1 Stunde,gar nicht,Fernseher;Radio,seltener als täglich,Whatsapp,Ihnen ist noch keine der Situationen wiederfahren,seltener als wöchentlich
2018/04/16 12:54:36 pm EET,männlich,36-40,Sehr selten (monatlich oder weniger),Sehr selten (monatlich oder weniger),Selten (wöchentlich),1 Stunde,gar nicht,gar nicht,Internet;Zeitung,seltener als täglich,Whatsapp;SMS,Ihnen ist noch keine der Situationen wiederfahren,nie
2018/04/16 12:54:43 pm EET,männlich,41-49,Oft (täglich),Sehr selten (monatlich oder weniger),Selten (wöchentlich),1 Stunde,1 Stunde,gar nicht,Internet;Radio,halbtägig,Whatsapp;Email,Ihnen ist noch keine der Situationen wiederfahren,mehrmals die Woche
2018/04/16 1:28:10 pm EET,männlich,>50,Oft (täglich),Sehr selten (monatlich oder weniger),Selten (wöchentlich),3 Stunden,gar nicht,1 Stunde,Internet;Radio;Zeitung,halbtägig,Whatsapp;SMS;Email,Ihnen ist noch keine der Situationen wiederfahren,mehrmals die Woche
2018/04/16 1:32:33 pm EET,männlich,41-49,Oft (täglich),Oft (täglich),Selten (wöchentlich),1 Stunde,2 Stunden,2 Stunden,Internet,täglich,Whatsapp;Email,Ihnen ist noch keine der Situationen wiederfahren,täglich
2018/04/16 1:43:06 pm EET,männlich,31-35,Selten (wöchentlich),Selten (wöchentlich),Sehr selten (monatlich oder weniger),2 Stunden,gar nicht,1 Stunde,Internet;Radio,täglich,Whatsapp;Email,Ihnen ist noch keine der Situationen wiederfahren,nie
2018/04/16 2:04:00 pm EET,männlich,41-49,Oft (täglich),Oft (täglich),Selten (wöchentlich),1 Stunde,gar nicht,1 Stunde,Fernseher;Internet,halbtägig,Whatsapp;SMS;Email,Ihnen ist noch keine der Situationen wiederfahren,nie
2018/04/16 2:08:20 pm EET,weiblich,41-49,Oft (täglich),Oft (täglich),Sehr selten (monatlich oder weniger),Mehr als 8 Stunden,4 Stunden,2 Stunden,Fernseher;Internet;Radio,halbtägig,Whatsapp;Facebook;SMS;Email,Sie wurden beleidigt oder angegriffen,nie
2018/04/16 2:40:55 pm EET,männlich,41-49,Oft (täglich),Oft (täglich),Sehr selten (monatlich oder weniger),2 Stunden,gar nicht,1 Stunde,Fernseher;Internet;Radio,täglich,Whatsapp;SMS,Ihnen ist noch keine der Situationen wiederfahren,seltener als wöchentlich
2018/04/16 2:43:59 pm EET,männlich,41-49,Sehr oft (mehrmals pro Tag),Sehr selten (monatlich oder weniger),Sehr selten (monatlich oder weniger),2 Stunden,1 Stunde,1 Stunde,Fernseher;Internet;Radio,halbtägig,Whatsapp;SMS;Email,Ihnen ist noch keine der Situationen wiederfahren,nie
2018/04/16 2:44:47 pm EET,männlich,>50,Oft (täglich),Sehr selten (monatlich oder weniger),Oft (täglich),1 Stunde,gar nicht,2 Stunden,Radio;Zeitung,täglich,SMS,Ihnen ist noch keine der Situationen wiederfahren,nie
2018/04/16 3:26:08 pm EET,männlich,>50,Oft (täglich),Sehr selten (monatlich oder weniger),Sehr selten (monatlich oder weniger),1 Stunde,gar nicht,1 Stunde,Internet;Radio,täglich,Email,Ihnen ist noch keine der Situationen wiederfahren,nie
2018/04/16 3:44:29 pm EET,männlich,>50,Selten (wöchentlich),Oft (täglich),Selten (wöchentlich),1 Stunde,gar nicht,1 Stunde,Fernseher;Internet;Radio;Zeitung,täglich,Whatsapp;SMS;Email,Ihnen ist noch keine der Situationen wiederfahren,nie
2018/04/16 3:51:33 pm EET,männlich,>50,Sehr selten (monatlich oder weniger),Sehr selten (monatlich oder weniger),Sehr selten (monatlich oder weniger),gar nicht,gar nicht,1 Stunde,Internet;Radio,halbtägig,SMS;Email,Ihnen ist noch keine der Situationen wiederfahren,nie
2018/04/16 3:58:13 pm EET,männlich,26-30,Oft (täglich),Sehr selten (monatlich oder weniger),Sehr selten (monatlich oder weniger),4 Stunden,2 Stunden,1 Stunde,Fernseher;Internet,halbtägig,Whatsapp;Snapchat;SMS,Ihnen ist noch keine der Situationen wiederfahren,seltener als wöchentlich
2018/04/16 4:10:04 pm EET,männlich,>50,Selten (wöchentlich),Sehr selten (monatlich oder weniger),Sehr selten (monatlich oder weniger),1 Stunde,1 Stunde,1 Stunde,Fernseher;Internet;Radio,halbtägig,Whatsapp;SMS;Email,Fotos oder Videos wurden ohne Sie zu fragen veröffentlicht,seltener als wöchentlich
2018/04/16 4:27:27 pm EET,männlich,26-30,Oft (täglich),Sehr selten (monatlich oder weniger),Sehr selten (monatlich oder weniger),1 Stunde,gar nicht,1 Stunde,Fernseher;Internet;Radio;Zeitung,täglich,Whatsapp;SMS;Email,Fotos oder Videos wurden ohne Sie zu fragen veröffentlicht,nie
2018/04/16 7:11:10 pm EET,männlich,26-30,Sehr oft (mehrmals pro Tag),Selten (wöchentlich),Sehr selten (monatlich oder weniger),3 Stunden,gar nicht,2 Stunden,Fernseher;Internet,Alle 1-4 Stunden,Whatsapp;SMS;Email,Ihnen ist noch keine der Situationen wiederfahren,nie
2018/04/16 7:31:58 pm EET,männlich,>50,Sehr selten (monatlich oder weniger),Sehr selten (monatlich oder weniger),Sehr selten (monatlich oder weniger),gar nicht,gar nicht,1 Stunde,Internet;Radio;Zeitung,täglich,Whatsapp;SMS;Email,Ihnen ist noch keine der Situationen wiederfahren,nie
2018/04/16 9:20:17 pm EET,männlich,41-49,Oft (täglich),Sehr selten (monatlich oder weniger),Sehr selten (monatlich oder weniger),2 Stunden,gar nicht,1 Stunde,Fernseher;Internet,täglich,Whatsapp;Email,Ihnen ist noch keine der Situationen wiederfahren,nie
2018/04/17 5:50:02 am EET,männlich,31-35,Oft (täglich),Oft (täglich),Sehr selten (monatlich oder weniger),1 Stunde,1 Stunde,1 Stunde,Internet,täglich,Whatsapp,Ihnen ist noch keine der Situationen wiederfahren,wöchentlich
2018/04/17 8:04:00 am EET,männlich,18 - 25,Sehr selten (monatlich oder weniger),Sehr selten (monatlich oder weniger),Sehr selten (monatlich oder weniger),gar nicht,2 Stunden,2 Stunden,Internet;Radio,Alle 1-4 Stunden,Whatsapp;Instagram;Email,Ihnen ist noch keine der Situationen wiederfahren,seltener als wöchentlich
2018/04/17 8:34:11 am EET,weiblich,>50,Selten (wöchentlich),Selten (wöchentlich),Sehr selten (monatlich oder weniger),1 Stunde,gar nicht,gar nicht,Radio,täglich,Whatsapp;Email,Ihnen ist noch keine der Situationen wiederfahren,nie
2018/04/17 3:22:14 pm EET,männlich,18 - 25,Sehr selten (monatlich oder weniger),Sehr selten (monatlich oder weniger),Sehr selten (monatlich oder weniger),gar nicht,gar nicht,gar nicht,Internet,seltener als täglich,Whatsapp;SMS,Fotos oder Videos wurden ohne Sie zu fragen veröffentlicht,nie
2018/04/17 7:30:02 pm EET,weiblich,26-30,Selten (wöchentlich),Selten (wöchentlich),Sehr selten (monatlich oder weniger),1 Stunde,1 Stunde,1 Stunde,Radio,seltener als täglich,Whatsapp,Ihnen ist noch keine der Situationen wiederfahren,seltener als wöchentlich
2018/04/18 7:04:42 am EET,männlich,41-49,Selten (wöchentlich),Sehr selten (monatlich oder weniger),Sehr selten (monatlich oder weniger),3 Stunden,2 Stunden,gar nicht,Internet;Radio,mind. stündlich,Whatsapp;Facebook,Ihnen ist noch keine der Situationen wiederfahren,mehrmals die Woche
2018/04/18 8:32:32 am EET,männlich,<18,Oft (täglich),Sehr selten (monatlich oder weniger),Sehr selten (monatlich oder weniger),gar nicht,3 Stunden,1 Stunde,Internet;Radio,halbtägig,Whatsapp,Ihnen ist noch keine der Situationen wiederfahren,täglich
2018/04/18 12:10:48 pm EET,männlich,>50,Oft (täglich),Sehr selten (monatlich oder weniger),Sehr selten (monatlich oder weniger),3 Stunden,gar nicht,1 Stunde,Fernseher;Internet,täglich,Whatsapp;Email,Ihnen ist noch keine der Situationen wiederfahren,mehrmals die Woche
2018/04/18 4:32:32 pm EET,weiblich,>50,Oft (täglich),Sehr selten (monatlich oder weniger),Oft (täglich),2 Stunden,gar nicht,2 Stunden,Fernseher;Radio;Zeitung,täglich,Whatsapp;Email,Ihnen ist noch keine der Situationen wiederfahren,seltener als wöchentlich
2018/04/19 7:37:35 am EET,männlich,41-49,Oft (täglich),Sehr selten (monatlich oder weniger),Sehr selten (monatlich oder weniger),2 Stunden,gar nicht,gar nicht,Fernseher;Internet;Radio,seltener als täglich,Whatsapp;Email,Ihnen ist noch keine der Situationen wiederfahren,seltener als wöchentlich
2018/04/19 9:25:33 am EET,männlich,41-49,Selten (wöchentlich),Selten (wöchentlich),Sehr selten (monatlich oder weniger),1 Stunde,gar nicht,gar nicht,Fernseher;Internet;Zeitung,seltener als täglich,Whatsapp;SMS,Ihnen ist noch keine der Situationen wiederfahren,nie
2018/04/19 12:15:06 pm EET,weiblich,36-40,Oft (täglich),Oft (täglich),Sehr selten (monatlich oder weniger),Mehr als 8 Stunden,1 Stunde,1 Stunde,Internet;Radio,halbtägig,Whatsapp,Ihnen ist noch keine der Situationen wiederfahren,nie
2018/04/20 2:28:34 pm EET,weiblich,41-49,Oft (täglich),Sehr selten (monatlich oder weniger),Sehr selten (monatlich oder weniger),1 Stunde,gar nicht,gar nicht,Fernseher;Internet,täglich,Whatsapp,Sie wurden beleidigt oder angegriffen,nie
2018/04/20 8:57:50 pm EET,männlich,36-40,Selten (wöchentlich),Oft (täglich),Sehr selten (monatlich oder weniger),7 Stunden,gar nicht,1 Stunde,Fernseher;Internet;Radio,halbtägig,Whatsapp,Ihnen ist noch keine der Situationen wiederfahren,nie
2018/04/20 9:00:23 pm EET,weiblich,36-40,Oft (täglich),Oft (täglich),Sehr selten (monatlich oder weniger),4 Stunden,1 Stunde,2 Stunden,Fernseher,Alle 1-4 Stunden,SMS,Ihnen ist noch keine der Situationen wiederfahren,mehrmals die Woche
2018/04/23 8:46:56 am EET,männlich,18 - 25,Sehr selten (monatlich oder weniger),Sehr selten (monatlich oder weniger),Sehr selten (monatlich oder weniger),gar nicht,1 Stunde,gar nicht,Internet,Alle 1-4 Stunden,Whatsapp,Sie wurden beleidigt oder angegriffen,seltener als wöchentlich
2018/04/26 7:08:55 pm EET,männlich,>50,Selten (wöchentlich),Sehr selten (monatlich oder weniger),Sehr selten (monatlich oder weniger),2 Stunden,1 Stunde,1 Stunde,Radio,täglich,Whatsapp,Ihnen ist noch keine der Situationen wiederfahren,täglich
2018/05/03 4:54:16 pm EET,männlich,26-30,Oft (täglich),Selten (wöchentlich),Sehr selten (monatlich oder weniger),2 Stunden,1 Stunde,1 Stunde,Fernseher;Internet;Radio,täglich,Whatsapp;Facebook,Ihnen ist noch keine der Situationen wiederfahren,seltener als wöchentlich